Month,Year,Region,Dengue_Cases,Dengue_Deaths
May,2017,BARMM,22,0
June,2017,BARMM,57,0
July,2017,BARMM,62,0
August,2017,BARMM,41,0
September,2017,BARMM,33,1
October,2017,BARMM,38,0
November,2017,BARMM,17,0
December,2017,BARMM,21,0
January,2018,BARMM,149,2
February,2018,BARMM,129,1
March,2018,BARMM,77,2
April,2018,BARMM,124,3
May,2018,BARMM,164,1
June,2018,BARMM,254,5
July,2018,BARMM,412,3
August,2018,BARMM,253,2
September,2018,BARMM,261,0
October,2018,BARMM,246,8
November,2018,BARMM,183,4
December,2018,BARMM,208,2
January,2019,BARMM,201,2
February,2019,BARMM,309,4
March,2019,BARMM,303,2
April,2019,BARMM,221,2
May,2019,BARMM,284,2
June,2019,BARMM,554,4
July,2019,BARMM,772,2
August,2019,BARMM,811,6
September,2019,BARMM,807,2
October,2019,BARMM,481,2
November,2019,BARMM,362,0
December,2019,BARMM,288,3
January,2020,BARMM,212,1
February,2020,BARMM,233,2
March,2020,BARMM,207,2
April,2020,BARMM,23,0
May,2020,BARMM,27,0
June,2020,BARMM,48,0
July,2020,BARMM,100,0
August,2020,BARMM,91,0
September,2020,BARMM,16,8
October,2020,BARMM,13,9
November,2020,BARMM,15,1
December,2020,BARMM,23,0
